Frequency,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily
Reference area,AE:United Arab Emirates,AL:Albania,AR:Argentina,AT:Austria,AU:Australia,BA:Bosnia and Herzegovina,BE:Belgium,BG:Bulgaria,BH:Bahrain,BN:Brunei,BR:Brazil,CA:Canada,CH:Switzerland,CL:Chile,CN:China,CO:Colombia,CY:Cyprus,CZ:Czechia,DE:Germany,DK:Denmark,DZ:Algeria,EE:Estonia,ES:Spain,FI:Finland,FR:France,GB:United Kingdom,GR:Greece,HK:Hong Kong SAR,HR:Croatia,HU:Hungary,ID:Indonesia,IE:Ireland,IL:Israel,IN:India,IR:Iran,IS:Iceland,IT:Italy,JP:Japan,KR:Korea,KW:Kuwait,KZ:Kazakhstan,LK:Sri Lanka,LT:Lithuania,LU:Luxembourg,LV:Latvia,MA:Morocco,MK:North Macedonia,MT:Malta,MU:Mauritius,MX:Mexico,MY:Malaysia,NL:Netherlands,NO:Norway,NP:Nepal,NZ:New Zealand,OM:Oman,PE:Peru,PH:Philippines,PK:Pakistan,PL:Poland,PT:Portugal,QA:Qatar,RO:Romania,RS:Serbia,RU:Russia,SA:Saudi Arabia,SE:Sweden,SG:Singapore,SI:Slovenia,SK:Slovakia,TH:Thailand,TN:Tunisia,TR:Türkiye,TT:Trinidad and Tobago,TW:Chinese Taipei,UA:Ukraine,US:United States,UY:Uruguay,VE:Venezuela,XM:Euro area,XW:World,ZA:South Africa
Currency,AED:UAE dirham,ALL:Lek,ARS:Argentine peso,EUR:Euro,AUD:Australian dollar,BAM:Bosnian convertible mark,EUR:Euro,BGN:Lev,BHD:Bahraini dinar,BND:Brunei dollar,BRL:Brazilian real,CAD:Canadian dollar,CHF:Swiss franc,CLP:Chilean peso,CNY:Renminbi,COP:Colombian peso,EUR:Euro,CZK:Czech koruna,EUR:Euro,DKK:Danish krone,DZD:Algerian dinar,EUR:Euro,EUR:Euro,EUR:Euro,EUR:Euro,GBP:Pound (sterling),EUR:Euro,HKD:Hong Kong dollar,EUR:Euro,HUF:Forint,IDR:Rupiah,EUR:Euro,ILS:New shekel,INR:Indian rupee,IRR:Iranian rial,ISK:Icelandic krona,EUR:Euro,JPY:Yen,KRW:Won,KWD:Kuwaiti dinar,KZT:Tenge,LKR:Sri Lanka rupee,EUR:Euro,EUR:Euro,EUR:Euro,MAD:Moroccan dirham,MKD:Denar,EUR:Euro,MUR:Mauritius rupee,MXN:Mexican peso,MYR:Malaysian ringgit,EUR:Euro,NOK:Norwegian krone,NPR:Nepalese rupee,NZD:New Zealand dollar,OMR:Omani rial,PEN:Sol,PHP:Philippine peso,PKR:Pakistan rupee,PLN:Zloty,EUR:Euro,QAR:Qatari riyal,RON:Romanian leu,RSD:Serbian Dinar,RUB:Russian rouble,SAR:Saudi riyal,SEK:Swedish krona,SGD:Singapore dollar,EUR:Euro,EUR:Euro,THB:Baht,TND:Tunisian dinar,TRY:Turkish lira,TTD:Trinidad and Tobago dollar,TWD:New Taiwan dollar,UAH:Hryvnia,USD:US dollar,UYU:Uruguayan peso,VEF:Bolivar,EUR:Euro,XDR:Special drawing right,ZAR:South African Rand
Collection,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period
Unit Multiplier,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units,0:Units
Decimals,6:Six,6:Six,16:Sixteen,6:Six,6:Six,6:Six,6:Six,6:Six,6:Six,6:Six,16:Sixteen,6:Six,6:Six,6:Six,6:Six,6:Six,6:Six,6:Six,6:Six,6:Six,6:Six,6:Six,6:Six,6:Six,6:Six,6:Six,6:Six,6:Six,6:Six,6:Six,6:Six,6:Six,6:Six,6:Six,6:Six,6:Six,6:Six,6:Six,6:Six,6:Six,6:Six,6:Six,6:Six,6:Six,6:Six,6:Six,6:Six,6:Six,6:Six,6:Six,6:Six,6:Six,6:Six,6:Six,6:Six,6:Six,16:Sixteen,6:Six,6:Six,6:Six,6:Six,6:Six,6:Six,16:Sixteen,6:Six,6:Six,6:Six,6:Six,6:Six,6:Six,6:Six,6:Six,16:Sixteen,6:Six,6:Six,6:Six,6:Six,6:Six,6:Six,6:Six,4:Four,6:Six
Availability,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users,A:All users
Title, Exchange rates against USD United Arab Emirates - UAE dirham - Daily - Average of observations through period, Exchange rates against USD Albania - Lek - Daily - Average of observations through period, Exchange rates against USD Argentina - Argentine peso - Daily - Average of observations through period, Exchange rates against USD Austria - Euro - Daily - Average of observations through period, Exchange rates against USD Australia - Australian dollar - Daily - Average of observations through period, Exchange rates against USD Bosnia and Herzegovina - Bosnian convertible mark - Daily - Average of observations through period, Exchange rates against USD Belgium - Euro - Daily - Average of observations through period, Exchange rates against USD Bulgaria - Lev - Daily - Average of observations through period, Exchange rates against USD Bahrain - Bahraini dinar - Daily - Average of observations through period, Exchange rates against USD Brunei - Brunei dollar - Daily - Average of observations through period, Exchange rates against USD Brazil - Brazilian real - Daily - Average of observations through period, Exchange rates against USD Canada - Canadian dollar - Daily - Average of observations through period, Exchange rates against USD Switzerland - Swiss franc - Daily - Average of observations through period, Exchange rates against USD Chile - Chilean peso - Daily - Average of observations through period, Exchange rates against USD China - Renminbi - Daily - Average of observations through period, Exchange rates against USD Colombia - Colombian peso - Daily - Average of observations through period, Exchange rates against USD Cyprus - Euro - Daily - Average of observations through period, Exchange rates against USD Czechia - Czech koruna - Daily - Average of observations through period, Exchange rates against USD Germany - Euro - Daily - Average of observations through period, Exchange rates against USD Denmark - Danish krone - Daily - Average of observations through period, Exchange rates against USD Algeria - Algerian dinar - Daily - Average of observations through period, Exchange rates against USD Estonia - Euro - Daily - Average of observations through period, Exchange rates against USD Spain - Euro - Daily - Average of observations through period, Exchange rates against USD Finland - Euro - Daily - Average of observations through period, Exchange rates against USD France - Euro - Daily - Average of observations through period, Exchange rates against USD United Kingdom - Pound (sterling) - Daily - Average of observations through period, Exchange rates against USD Greece - Euro - Daily - Average of observations through period, Exchange rates against USD Hong Kong SAR - Hong Kong dollar - Daily - Average of observations through period, Exchange rates against USD Croatia - Euro - Daily - Average of observations through period, Exchange rates against USD Hungary - Forint - Daily - Average of observations through period, Exchange rates against USD Indonesia - Rupiah - Daily - Average of observations through period, Exchange rates against USD Ireland - Euro - Daily - Average of observations through period, Exchange rates against USD Israel - New shekel - Daily - Average of observations through period, Exchange rates against USD India - Indian rupee - Daily - Average of observations through period, Exchange rates against USD Iran - Iranian rial - Daily - Average of observations through period, Exchange rates against USD Iceland - Icelandic krona - Daily - Average of observations through period, Exchange rates against USD Italy - Euro - Daily - Average of observations through period, Exchange rates against USD Japan - Yen - Daily - Average of observations through period, Exchange rates against USD Korea - Won - Daily - Average of observations through period, Exchange rates against USD Kuwait - Kuwaiti dinar - Daily - Average of observations through period, Exchange rates against USD Kazakhstan - Tenge - Daily - Average of observations through period, Exchange rates against USD Sri Lanka - Sri Lanka rupee - Daily - Average of observations through period, Exchange rates against USD Lithuania - Euro - Daily - Average of observations through period, Exchange rates against USD Luxembourg - Euro - Daily - Average of observations through period, Exchange rates against USD Latvia - Euro - Daily - Average of observations through period, Exchange rates against USD Morocco - Moroccan dirham - Daily - Average of observations through period, Exchange rates against USD North Macedonia - Denar - Daily - Average of observations through period, Exchange rates against USD Malta - Euro - Daily - Average of observations through period, Exchange rates against USD Mauritius - Mauritius rupee - Daily - Average of observations through period, Exchange rates against USD Mexico - Mexican peso - Daily - Average of observations through period, Exchange rates against USD Malaysia - Malaysian ringgit - Daily - Average of observations through period, Exchange rates against USD Netherlands - Euro - Daily - Average of observations through period, Exchange rates against USD Norway - Norwegian krone - Daily - Average of observations through period, Exchange rates against USD Nepal - Nepalese rupee - Daily - Average of observations through period, Exchange rates against USD New Zealand - New Zealand dollar - Daily - Average of observations through period, Exchange rates against USD Oman - Omani rial - Daily - Average of observations through period, Exchange rates against USD Peru - Sol - Daily - Average of observations through period, Exchange rates against USD Philippines - Philippine peso - Daily - Average of observations through period, Exchange rates against USD Pakistan - Pakistan rupee - Daily - Average of observations through period, Exchange rates against USD Poland - Zloty - Daily - Average of observations through period, Exchange rates against USD Portugal - Euro - Daily - Average of observations through period, Exchange rates against USD Qatar - Qatari riyal - Daily - Average of observations through period, Exchange rates against USD Romania - Romanian leu - Daily - Average of observations through period, Exchange rates against USD Serbia - Serbian Dinar - Daily - Average of observations through period, Exchange rates against USD Russia - Russian rouble - Daily - Average of observations through period, Exchange rates against USD Saudi Arabia - Saudi riyal - Daily - Average of observations through period, Exchange rates against USD Sweden - Swedish krona - Daily - Average of observations through period, Exchange rates against USD Singapore - Singapore dollar - Daily - Average of observations through period, Exchange rates against USD Slovenia - Euro - Daily - Average of observations through period, Exchange rates against USD Slovakia - Euro - Daily - Average of observations through period, Exchange rates against USD Thailand - Baht - Daily - Average of observations through period, Exchange rates against USD Tunisia - Tunisian dinar - Daily - Average of observations through period, Exchange rates against USD Türkiye - Turkish lira - Daily - Average of observations through period, Exchange rates against USD Trinidad and Tobago - Trinidad and Tobago dollar - Daily - Average of observations through period, Exchange rates against USD Chinese Taipei - New Taiwan dollar - Daily - Average of observations through period, Exchange rates against USD Ukraine - Hryvnia - Daily - Average of observations through period, Exchange rates against USD United States - US dollar - Daily - Average of observations through period, Exchange rates against USD Uruguay - Uruguayan peso - Daily - Average of observations through period, Exchange rates against USD Venezuela - Bolivar - Daily - Average of observations through period, Exchange rates against USD Euro area - Euro - Daily - Average of observations through period, Exchange rates against USD World - Special drawing right - Daily - Average of observations through period, Exchange rates against USD South Africa - South African Rand - Daily - Average of observations through period
Time Period,D:AE:AED:A,D:AL:ALL:A,D:AR:ARS:A,D:AT:EUR:A,D:AU:AUD:A,D:BA:BAM:A,D:BE:EUR:A,D:BG:BGN:A,D:BH:BHD:A,D:BN:BND:A,D:BR:BRL:A,D:CA:CAD:A,D:CH:CHF:A,D:CL:CLP:A,D:CN:CNY:A,D:CO:COP:A,D:CY:EUR:A,D:CZ:CZK:A,D:DE:EUR:A,D:DK:DKK:A,D:DZ:DZD:A,D:EE:EUR:A,D:ES:EUR:A,D:FI:EUR:A,D:FR:EUR:A,D:GB:GBP:A,D:GR:EUR:A,D:HK:HKD:A,D:HR:EUR:A,D:HU:HUF:A,D:ID:IDR:A,D:IE:EUR:A,D:IL:ILS:A,D:IN:INR:A,D:IR:IRR:A,D:IS:ISK:A,D:IT:EUR:A,D:JP:JPY:A,D:KR:KRW:A,D:KW:KWD:A,D:KZ:KZT:A,D:LK:LKR:A,D:LT:EUR:A,D:LU:EUR:A,D:LV:EUR:A,D:MA:MAD:A,D:MK:MKD:A,D:MT:EUR:A,D:MU:MUR:A,D:MX:MXN:A,D:MY:MYR:A,D:NL:EUR:A,D:NO:NOK:A,D:NP:NPR:A,D:NZ:NZD:A,D:OM:OMR:A,D:PE:PEN:A,D:PH:PHP:A,D:PK:PKR:A,D:PL:PLN:A,D:PT:EUR:A,D:QA:QAR:A,D:RO:RON:A,D:RS:RSD:A,D:RU:RUB:A,D:SA:SAR:A,D:SE:SEK:A,D:SG:SGD:A,D:SI:EUR:A,D:SK:EUR:A,D:TH:THB:A,D:TN:TND:A,D:TR:TRY:A,D:TT:TTD:A,D:TW:TWD:A,D:UA:UAH:A,D:US:USD:A,D:UY:UYU:A,D:VE:VEF:A,D:XM:EUR:A,D:XW:XDR:A,D:ZA:ZAR:A
2010-01-01,3.6725,,NaN,NaN,NaN,1.35765,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,2044.23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,,NaN,NaN,3.7504,NaN,NaN,NaN,NaN,NaN,,,,NaN,7.985,1,NaN,NaN,NaN,NaN,NaN
2010-01-02,3.6725,,,,,1.35765,,,,,,,,NaN,,2044.23,,,,,,,,,,,,,,,,,,,,NaN,,,,,,,,,,,NaN,,,,,,,,,,,,,,,,,NaN,,,,,,,,,,,,7.985,1,NaN,,,,
