Currency,AED,ALL,ARS,EUR,AUD,BAM,BGN,BHD,BND,BRL,CAD,CHF,CLP,CNY,COP,CZK,DKK,DZD,GBP,HKD,HUF,IDR,ILS,INR,IRR,ISK,JPY,KRW,KWD,KZT,LKR,MAD,MKD,MUR,MXN,MYR,NOK,NPR,NZD,OMR,PEN,PHP,PKR,PLN,QAR,RON,RSD,RUB,SAR,SEK,SGD,THB,TND,TRY,TTD,TWD,UAH,USD,UYU,VEF,XDR,ZAR
2023-06-26,3.6725,98.23,254.5417,0.915919,1.497161,,1.791354,,1.3515,4.7789888257923,1.31471,0.89183,,7.233193,,21.660561,6.819747,,0.786573,7.829364,338.06558,15056.072541,3.623832,82.02647,,,143.258839,1305.706173,0.30705,,307.5,,,,17.115131,4.673475,10.723576,,1.62026,,NaN,55.745558,,4.06329,3.64,4.539385,,,,10.70022,1.352354,35.170361,,25.903370580692,,31.03,36.5686,1,,,0.7494,18.60643
2023-06-25,NaN,,NaN,,,,,,NaN,,,,,,,,,,,,,,,,,,,,NaN,,,,,,,,,,,,,,,,NaN,,,,,,,,,,,,NaN,,,,,
2023-06-24,NaN,,NaN,,,,,,NaN,,,,,,,,,,,,,,,,,,,,NaN,,,,,,,,,,,,,,,,NaN,,,84.0793,,,,,,,,,NaN,,,,,
2023-06-23,NaN,99.15,252.9917,0.91878,1.496233,,1.79695,,1.3483,4.7992466005145,1.321205,0.897924,805.02,7.179438,4114.39,21.732819,6.843532,,0.785364,7.829474,339.85667,15010.740537,3.620085,81.973999,,,143.182653,1310.106578,NaN,,307.5,,,45.8112,17.246049,4.676498,10.893513,,1.631569,,3.633,55.766262,,4.064498,NaN,4.551452,,83.6077,,10.726755,1.352995,35.210401,,25.246324880559,6.7725,30.94,36.5686,1,37.54,,0.75,18.711136
2023-06-22,3.6725,97.04,252.5083,0.910332,1.474192,,1.780428,,1.3406,4.7638598088302,1.316614,0.894401,801.9,7.179426,4158.21,21.559399,6.780701,,0.783933,7.827674,336.304051,14953.108785,3.627401,81.957214,,135.18,142.057351,1296.87756,0.30675,,306,,,45.5649,17.153482,4.650979,10.558944,,1.611106,0.3845,3.6375,55.651343,,4.028493,3.64,4.51807,,84.2467,,10.671279,1.341921,35.079654,,24.237505689577,6.76,30.94,36.5686,1,37.765,,0.7458,18.441056
2023-06-21,3.6725,97.75,252.0083,0.915499,1.478898,,1.790534,,1.3438,4.7855900393665,1.321523,0.897464,NaN,7.18841,4149.18,21.755012,6.818548,135.488,0.785755,7.828435,338.64323,14950.837682,3.607434,82.007232,,135.77,141.801703,1294.406299,0.30695,,306,,56.28,45.8305,17.155818,4.644969,10.754372,,1.620159,0.3845,3.6425,55.613842,,4.058226,3.64,4.543166,,84.2336,,10.762886,1.34377,34.840245,,23.559736336171,6.7685,30.94,36.5686,1,37.912,,0.7481,18.381672
2023-06-20,3.6725,98.08,NaN,0.914662,1.474435,,1.788896,,1.3419,4.7906338607884,1.32379,0.897101,795.63,7.176621,4145.72,21.728711,6.813409,135.3996,0.783911,7.825848,340.75734,15009.704564,3.605964,82.093204,,136.38,141.324431,1286.316656,0.30685,,306,,56.3,45.6823,17.103357,4.639989,10.715723,,1.620232,0.3845,3.6445,55.577609,,4.066862,NaN,4.539376,,83.9866,,10.754596,1.343456,34.739779,,23.569651513766,6.7474,30.91,36.5686,1,37.931,,0.7473,18.267996
2023-06-19,NaN,98.86,NaN,0.915583,1.461637,,1.790698,,NaN,4.8148690715986,1.319447,0.894708,793.35,7.158213,4145.72,21.770738,6.820912,135.3407,0.7807,7.817158,342.79436,14998.342794,3.60813,81.956144,,136.51,141.860465,1282.66801,NaN,,NaN,,56.08,NaN,17.100165,4.627541,10.651437,,1.613715,NaN,3.638,55.743454,,4.080754,NaN,4.540194,,NaN,,10.707105,1.340963,34.78026,,23.644936824757,NaN,NaN,36.5686,1,NaN,,NaN,18.174052
2023-06-18,NaN,,NaN,,,,,,NaN,,,,NaN,,4145.72,,,NaN,,,,,,,,NaN,,,NaN,,,,NaN,NaN,,,,,,NaN,,,,,NaN,,,NaN,,,,,,,NaN,,NaN,,NaN,,,
2023-06-17,NaN,,NaN,,,,,,NaN,,,,NaN,,4145.72,,,NaN,,,,,,,,NaN,,,NaN,,,,NaN,NaN,,,,,,NaN,,,,,NaN,,,83.6498,,,,,,,NaN,,NaN,,NaN,,,
2023-06-16,NaN,98.82,249.1583,0.91191,1.453675,,1.783513,,1.3376,4.813970454131,1.322269,0.890936,796.97,7.122013,4164.66,21.718949,6.794182,135.4349,0.779026,7.824093,340.142258,14944.145541,3.558636,81.885191,,136.33,141.02681,1274.548605,NaN,,305.57,,56.84,45.5722,17.123017,4.614536,10.502462,,1.60414,NaN,3.638,55.850812,,4.078789,NaN,4.523983,,83.9611,,10.571311,1.335674,34.609703,,23.663231807405,6.7448,30.7,36.5686,1,38.02,,0.7458,18.148915
